project_id	resourcetype	resourceid
sys-17129398924880695740455381	project	sys-17129398924880695740455381
sys-17129398924880695740455381	folder	30263264461
sys-17129398924880695740455381	folder	337401936763
sys-17129398924880695740455381	organization	494667196037
sys-59935666874430301455825188	project	sys-59935666874430301455825188
sys-59935666874430301455825188	folder	30263264461
sys-59935666874430301455825188	folder	337401936763
sys-59935666874430301455825188	organization	494667196037
sys-79508892783069053681725493	project	sys-79508892783069053681725493
sys-79508892783069053681725493	folder	30263264461
sys-79508892783069053681725493	folder	337401936763
sys-79508892783069053681725493	organization	494667196037
sys-01037505141277049914296030	project	sys-01037505141277049914296030
sys-01037505141277049914296030	folder	30263264461
sys-01037505141277049914296030	folder	337401936763
sys-01037505141277049914296030	organization	494667196037
sys-92453734502167043669039511	project	sys-92453734502167043669039511
sys-92453734502167043669039511	folder	30263264461
sys-92453734502167043669039511	folder	337401936763
sys-92453734502167043669039511	organization	494667196037
sys-20548590958683613455483817	project	sys-20548590958683613455483817
sys-20548590958683613455483817	folder	30263264461
sys-20548590958683613455483817	folder	337401936763
sys-20548590958683613455483817	organization	494667196037
sys-64688669195120283236199580	project	sys-64688669195120283236199580
sys-64688669195120283236199580	folder	30263264461
sys-64688669195120283236199580	folder	337401936763
sys-64688669195120283236199580	organization	494667196037
sys-40434155617394742546438364	project	sys-40434155617394742546438364
sys-40434155617394742546438364	folder	30263264461
sys-40434155617394742546438364	folder	337401936763
sys-40434155617394742546438364	organization	494667196037
lt-shipyard-lower	project	lt-shipyard-lower
lt-shipyard-lower	folder	359395360364
lt-shipyard-lower	folder	572237543192
lt-shipyard-lower	organization	494667196037
lt-dia-lake-exp-observability	project	lt-dia-lake-exp-observability
lt-dia-lake-exp-observability	folder	9145849410
lt-dia-lake-exp-observability	folder	55753077198
lt-dia-lake-exp-observability	folder	857031298135
lt-dia-lake-exp-observability	folder	173952209464
lt-dia-lake-exp-observability	organization	494667196037
sys-40455372964799827957353047	project	sys-40455372964799827957353047
sys-40455372964799827957353047	folder	30263264461
sys-40455372964799827957353047	folder	337401936763
sys-40455372964799827957353047	organization	494667196037
sys-51692514857900878242678036	project	sys-51692514857900878242678036
sys-51692514857900878242678036	folder	30263264461
sys-51692514857900878242678036	folder	337401936763
sys-51692514857900878242678036	organization	494667196037
sys-18877554343903641661450103	project	sys-18877554343903641661450103
sys-18877554343903641661450103	folder	30263264461
sys-18877554343903641661450103	folder	337401936763
sys-18877554343903641661450103	organization	494667196037
sys-00851696628483181452486223	project	sys-00851696628483181452486223
sys-00851696628483181452486223	folder	30263264461
sys-00851696628483181452486223	folder	337401936763
sys-00851696628483181452486223	organization	494667196037
sys-20307057948850084179488193	project	sys-20307057948850084179488193
sys-20307057948850084179488193	folder	30263264461
sys-20307057948850084179488193	folder	337401936763
sys-20307057948850084179488193	organization	494667196037
sys-45799500516211788996218592	project	sys-45799500516211788996218592
sys-45799500516211788996218592	folder	30263264461
sys-45799500516211788996218592	folder	337401936763
sys-45799500516211788996218592	organization	494667196037
